1, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:allay, 5, 1, 1
49, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:dark_vortex, 4, 1, 1
50, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:dread_hound, 10, 1, 2
51, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 6, 1, 1
52, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:dire_hound_leader, 6, 1, 1
53, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:corpse_fly, 15, 2, 3
54, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 2, 3
55, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:zombie_bruiser, 10, 1, 2
56, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:zombie_lumberjack, 10, 1, 2
57, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:siamese_skeletons, 6, 1, 1
58, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:baby_spider, 10, 1, 2
59, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:nightmare_stalker, 1, 1, 1
60, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:door_knight, 0, 1, 1
61, forest, regions_unexplored:alpha_grove, CREATURE, mysticsbiomes:butterfly, 15, 2, 3
62, forest, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:fly, 10, 2, 3
63, forest, regions_unexplored:alpha_grove, AMBIENT, mowziesmobs:lantern, 10, 2, 4
64, the_end, betterend:amber_land, AMBIENT, betterend:dragonfly, 10, 2, 3
65, the_end, betterend:amber_land, AMBIENT, betterend:silk_moth, 15, 3, 5
66, the_end, betterend:amber_land, AMBIENT, alexsmobs:cosmic_cod, 10, 2, 3
67, the_end, betterend:amber_land, WATER_AMBIENT, betterend:end_fish, 10, 2, 3
68, the_end, betterend:amber_land, WATER_AMBIENT, betterend:cubozoa, 5, 1, 2
69, the_end, betterend:amber_land, CREATURE, alexsmobs:endergrade, 10, 2, 4
70, the_end, betterend:amber_land, CREATURE, alexsmobs:spectre, 10, 2, 3
71, the_end, betterend:amber_land, CREATURE, alexsmobs:enderiophage, 10, 2, 3
72, the_end, betterend:amber_land, CREATURE, alexsmobs:cosmaw, 5, 1, 2
73, the_end, betterend:amber_land, CREATURE, legendarycreatures:ender_wisp, 10, 1, 2
74, the_end, betterend:amber_land, MONSTER, minecraft:enderman, 20, 3, 5
75, the_end, betterend:amber_land, MONSTER, minecraft:endermite, 10, 2, 3
76, the_end, betterend:amber_land, MONSTER, betterend:end_slime, 10, 2, 3
77, the_end, betterend:amber_land, MONSTER, betterend:shadow_walker, 5, 1, 2
78, the_end, betterend:amber_land, MONSTER, mutantmonsters:mutant_enderman, 1, 1, 1
79, the_end, betterend:amber_land, MONSTER, alexsmobs:mimicube, 10, 2, 3
80, the_end, betterend:amber_land, MONSTER, alexsmobs:farseer, 2, 1, 2
81, the_end, betterend:amber_land, MONSTER, cataclysm:endermaptera, 30, 2, 3
82, the_end, betterend:amber_land, MONSTER, endermanoverhaul:end_enderman, 10, 2, 3
83, the_end, betterend:amber_land, MONSTER, endermanoverhaul:end_islands_enderman, 10, 2, 3
84, none, regions_unexplored:ancient_delta, AXOLOTLS, minecraft:axolotl, 5, 2, 4
85, none, regions_unexplored:ancient_delta, AMBIENT, minecraft:bat, 40, 1, 2
86, none, regions_unexplored:ancient_delta, AMBIENT, alexsmobs:cockroach, 15, 1, 3
87, none, regions_unexplored:ancient_delta, AMBIENT, alexsmobs:underminer, 10, 1, 2
88, none, regions_unexplored:ancient_delta, CREATURE, quark:stoneling, 5, 1, 2
89, none, regions_unexplored:ancient_delta, CREATURE, quark:toretoise, 10, 1, 2
90, none, regions_unexplored:ancient_delta, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 20, 2, 3
91, none, regions_unexplored:ancient_delta, MONSTER, minecraft:cave_spider, 15, 2, 3
92, none, regions_unexplored:ancient_delta, MONSTER, minecraft:creeper, 15, 2, 3
93, none, regions_unexplored:ancient_delta, MONSTER, minecraft:enderman, 10, 1, 2
94, none, regions_unexplored:ancient_delta, MONSTER, minecraft:silverfish, 40, 1, 3
95, none, regions_unexplored:ancient_delta, MONSTER, minecraft:skeleton, 15, 2, 3
96, none, regions_unexplored:ancient_delta, MONSTER, minecraft:slime, 20, 2, 3
97, none, regions_unexplored:ancient_delta, MONSTER, minecraft:spider, 10, 1, 2
98, none, regions_unexplored:ancient_delta, MONSTER, minecraft:witch, 5, 1, 1
99, none, regions_unexplored:ancient_delta, MONSTER, minecraft:zombie, 20, 2, 3
100, none, regions_unexplored:ancient_delta, MONSTER, minecraft:zombie_villager, 10, 2, 2
101, none, regions_unexplored:ancient_delta, MONSTER, graveyard:ghoul, 10, 2, 3
102, none, regions_unexplored:ancient_delta, MONSTER, graveyard:revenant, 5, 1, 2
103, none, regions_unexplored:ancient_delta, MONSTER, graveyard:nightmare, 5, 1, 2
104, none, regions_unexplored:ancient_delta, MONSTER, alexsmobs:centipede_head, 3, 1, 1
105, none, regions_unexplored:ancient_delta, MONSTER, alexsmobs:rocky_roller, 10, 1, 1
106, none, regions_unexplored:ancient_delta, MONSTER, alexsmobs:murmur, 1, 1, 1
107, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:decrepit_skeleton, 10, 2, 3
108, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 2, 4
109, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:restless_spirit, 10, 2, 3
110, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:phantom_creeper, 5, 1, 2
111, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:bone_imp, 5, 1, 2
112, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 5, 1, 2
113, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:corpse_fly, 10, 2, 3
114, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:swarmer, 10, 2, 3
115, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:spiritof_chaos, 5, 1, 2
116, none, regions_unexplored:ancient_delta, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
117, none, regions_unexplored:ancient_delta, MONSTER, mowziesmobs:grottol, 20, 1, 1
118, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:cow, 20, 2, 3
119, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:donkey, 10, 2, 2
120, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:fox, 15, 2, 3
121, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:goat, 30, 3, 5
122, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:horse, 10, 2, 2
123, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:pig, 15, 2, 3
124, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:sheep, 20, 2, 4
125, extreme_hills, regions_unexplored:arid_mountains, CREATURE, iceandfire:hippogryph, 5, 1, 2
126, extreme_hills, regions_unexplored:arid_mountains, CREATURE, legendarycreatures:wisp, 5, 1, 1
127, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:creeper, 10, 2, 3
128, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:enderman, 5, 1, 2
129, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:skeleton, 15, 2, 3
130, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:spider, 10, 2, 3
131, extreme_hills, regions_unexplored:arid_mountains, MONSTER, born_in_chaos_v1:decaying_zombie, 10, 2, 3
132, extreme_hills, regions_unexplored:arid_mountains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 5, 1, 2
133, extreme_hills, regions_unexplored:arid_mountains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 2, 3
134, extreme_hills, regions_unexplored:arid_mountains, MONSTER, born_in_chaos_v1:dire_hound_leader, 5, 1, 1
135, extreme_hills, regions_unexplored:arid_mountains, MONSTER, born_in_chaos_v1:corpse_fly, 10, 2, 3
136, extreme_hills, regions_unexplored:arid_mountains, MONSTER, born_in_chaos_v1:swarmer, 10, 2, 3
137, extreme_hills, regions_unexplored:arid_mountains, MONSTER, born_in_chaos_v1:zombie_bruiser, 15, 2, 4
138, extreme_hills, regions_unexplored:arid_mountains, MONSTER, born_in_chaos_v1:nightmare_stalker, 1, 1, 1
139, extreme_hills, regions_unexplored:arid_mountains, MONSTER, endermanoverhaul:windswept_hills_enderman, 5, 1, 2
140, extreme_hills, regions_unexplored:arid_mountains, MONSTER, mobs_of_mythology:chupacabra, 5, 1, 3
141, extreme_hills, regions_unexplored:arid_mountains, CREATURE, mysticsbiomes:butterfly, 15, 1, 2
142, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:allay, 5, 1, 1
143, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:bee, 15, 2, 4
144, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:chicken, 25, 2, 4
145, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:cow, 20, 2, 3
146, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:donkey, 5, 1, 2
147, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:horse, 5, 1, 2
148, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:mooshroom, 2, 1, 1
149, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:mule, 5, 1, 1
150, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:pig, 25, 2, 4
151, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:rabbit, 15, 2, 3
152, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:sheep, 25, 2, 4
153, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:wolf, 15, 2, 3
154, none, regions_unexplored:ashen_woodland, CREATURE, alexsmobs:grizzly_bear, 5, 1, 2
155, none, regions_unexplored:ashen_woodland, CREATURE, alexsmobs:hummingbird, 15, 2, 3
156, none, regions_unexplored:ashen_woodland, CREATURE, alexsmobs:raccoon, 10, 2, 3
157, none, regions_unexplored:ashen_woodland, CREATURE, alexsmobs:crow, 10, 1, 3
158, none, regions_unexplored:ashen_woodland, CREATURE, alexsmobs:bald_eagle, 5, 1, 2
159, none, regions_unexplored:ashen_woodland, CREATURE, alexsmobs:bunfungus, 5, 1, 2
160, none, regions_unexplored:ashen_woodland, CREATURE, alexsmobs:sugar_glider, 10, 2, 3
161, none, regions_unexplored:ashen_woodland, CREATURE, legendarycreatures:forest_mojo, 5, 1, 2
162, none, regions_unexplored:ashen_woodland, CREATURE, legendarycreatures:hound, 150, 1, 2
163, none, regions_unexplored:ashen_woodland, CREATURE, legendarycreatures:wisp, 10, 2, 3
164, none, regions_unexplored:ashen_woodland, CREATURE, iceandfire:pixie, 10, 2, 3
165, none, regions_unexplored:ashen_woodland, MONSTER, minecraft:silverfish, 6, 1, 3
166, none, regions_unexplored:ashen_woodland, MONSTER, minecraft:creeper, 20, 1, 2
167, none, regions_unexplored:ashen_woodland, MONSTER, minecraft:enderman, 10, 1, 1
168, none, regions_unexplored:ashen_woodland, MONSTER, minecraft:pillager, 5, 1, 2
169, none, regions_unexplored:ashen_woodland, MONSTER, minecraft:skeleton, 10, 1, 2
170, none, regions_unexplored:ashen_woodland, MONSTER, minecraft:spider, 10, 1, 2
171, none, regions_unexplored:ashen_woodland, MONSTER, minecraft:witch, 6, 1, 1
172, none, regions_unexplored:ashen_woodland, MONSTER, minecraft:zombie, 20, 1, 2
173, none, regions_unexplored:ashen_woodland, MONSTER, minecraft:zombie_villager, 5, 1, 1
174, none, regions_unexplored:ashen_woodland, MONSTER, mutantmonsters:mutant_zombie, 1, 1, 1
175, none, regions_unexplored:ashen_woodland, MONSTER, graveyard:reaper, 6, 1, 1
176, none, regions_unexplored:ashen_woodland, MONSTER, graveyard:corrupted_pillager, 10, 1, 2
177, none, regions_unexplored:ashen_woodland, MONSTER, graveyard:ghoul, 10, 1, 2
178, none, regions_unexplored:ashen_woodland, MONSTER, graveyard:revenant, 10, 1, 2
179, none, regions_unexplored:ashen_woodland, MONSTER, graveyard:wraith, 6, 1, 1
180, none, regions_unexplored:ashen_woodland, MONSTER, graveyard:nightmare, 4, 1, 1
181, none, regions_unexplored:ashen_woodland, MONSTER, iceandfire:troll, 4, 1, 1
182, none, regions_unexplored:ashen_woodland, MONSTER, mobs_of_mythology:chupacabra, 10, 1, 3
183, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:decaying_zombie, 10, 1, 2
184, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:baby_skeleton, 6, 1, 1
185, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:barrel_zombie, 5, 1, 2
186, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:phantom_creeper, 4, 1, 1
187, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:restless_spirit, 6, 1, 1
188, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:bonescaller, 3, 1, 1
189, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:bone_imp, 5, 1, 1
190, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:dark_vortex, 4, 1, 1
191, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:dread_hound, 10, 1, 2
192, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 6, 1, 1
193, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:dire_hound_leader, 6, 1, 1
194, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:corpse_fly, 15, 2, 3
195, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 2, 3
196, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:zombie_bruiser, 10, 1, 2
197, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:zombie_lumberjack, 10, 1, 2
198, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:siamese_skeletons, 6, 1, 1
199, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:baby_spider, 10, 1, 2
200, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:nightmare_stalker, 1, 1, 1
201, none, regions_unexplored:ashen_woodland, MONSTER, born_in_chaos_v1:door_knight, 0, 1, 1
202, none, regions_unexplored:ashen_woodland, CREATURE, mysticsbiomes:butterfly, 15, 2, 3
203, none, regions_unexplored:ashen_woodland, AMBIENT, alexsmobs:fly, 10, 2, 3
204, none, regions_unexplored:ashen_woodland, AMBIENT, mowziesmobs:lantern, 10, 2, 4
205, none, biomesoplenty:auroral_garden, CREATURE, minecraft:chicken, 15, 2, 4
206, none, biomesoplenty:auroral_garden, CREATURE, minecraft:cow, 20, 2, 3
207, none, biomesoplenty:auroral_garden, CREATURE, minecraft:donkey, 5, 1, 2
208, none, biomesoplenty:auroral_garden, CREATURE, minecraft:fox, 20, 3, 5
209, none, biomesoplenty:auroral_garden, CREATURE, minecraft:frog, 10, 2, 3
210, none, biomesoplenty:auroral_garden, CREATURE, minecraft:mule, 5, 1, 2
211, none, biomesoplenty:auroral_garden, CREATURE, minecraft:pig, 15, 2, 4
212, none, biomesoplenty:auroral_garden, CREATURE, minecraft:sheep, 15, 2, 4
213, none, biomesoplenty:auroral_garden, CREATURE, minecraft:wolf, 20, 3, 5
214, none, biomesoplenty:auroral_garden, CREATURE, alexsmobs:moose, 10, 2, 2
215, none, biomesoplenty:auroral_garden, CREATURE, alexsmobs:raccoon, 5, 1, 1
216, none, biomesoplenty:auroral_garden, CREATURE, alexsmobs:snow_leopard, 5, 1, 2
217, none, biomesoplenty:auroral_garden, CREATURE, alexsmobs:crow, 10, 1, 2
218, none, biomesoplenty:auroral_garden, CREATURE, alexsmobs:sugar_glider, 10, 2, 3
219, none, biomesoplenty:auroral_garden, CREATURE, alexsmobs:potoo, 25, 4, 5
220, none, biomesoplenty:auroral_garden, CREATURE, legendarycreatures:wisp, 5, 1, 1
221, none, biomesoplenty:auroral_garden, AMBIENT, aquamirae:golden_moth, 1, 1, 2
222, none, biomesoplenty:auroral_garden, AMBIENT, alexsmobs:fly, 15, 3, 5
223, none, biomesoplenty:auroral_garden, CREATURE, mysticsbiomes:butterfly, 15, 2, 3
224, none, biomesoplenty:auroral_garden, MONSTER, minecraft:creeper, 10, 1, 3
225, none, biomesoplenty:auroral_garden, MONSTER, minecraft:enderman, 5, 1, 2
226, none, biomesoplenty:auroral_garden, MONSTER, minecraft:skeleton, 15, 1, 3
227, none, biomesoplenty:auroral_garden, MONSTER, minecraft:spider, 10, 2, 3
228, none, biomesoplenty:auroral_garden, MONSTER, minecraft:stray, 15, 3, 5
229, none, biomesoplenty:auroral_garden, MONSTER, minecraft:witch, 5, 1, 2
230, none, biomesoplenty:auroral_garden, MONSTER, minecraft:zombie, 20, 3, 5
231, none, biomesoplenty:auroral_garden, MONSTER, minecraft:zombie_villager, 10, 2, 3
232, none, biomesoplenty:auroral_garden, MONSTER, mobs_of_mythology:chupacabra, 5, 1, 3
233, none, biomesoplenty:auroral_garden, MONSTER, graveyard:acolyte, 5, 1, 2
234, none, biomesoplenty:auroral_garden, MONSTER, graveyard:corrupted_vindicator, 5, 1, 2
235, none, biomesoplenty:auroral_garden, MONSTER, graveyard:corrupted_pillager, 5, 1, 2
236, none, biomesoplenty:auroral_garden, MONSTER, graveyard:ghoul, 10, 2, 3
237, none, biomesoplenty:auroral_garden, MONSTER, graveyard:revenant, 5, 1, 2
238, none, biomesoplenty:auroral_garden, MONSTER, graveyard:wraith, 5, 1, 2
239, none, biomesoplenty:auroral_garden, MONSTER, born_in_chaos_v1:decrepit_skeleton, 10, 2, 3
240, none, biomesoplenty:auroral_garden, MONSTER, born_in_chaos_v1:lifestealer, 2, 1, 1
241, none, biomesoplenty:auroral_garden, MONSTER, born_in_chaos_v1:restless_spirit, 5, 1, 2
242, none, biomesoplenty:auroral_garden, MONSTER, born_in_chaos_v1:bone_imp, 5, 1, 2
243, none, biomesoplenty:auroral_garden, MONSTER, born_in_chaos_v1:dread_hound, 10, 2, 3
244, none, biomesoplenty:auroral_garden, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 5, 1, 2
245, none, biomesoplenty:auroral_garden, MONSTER, born_in_chaos_v1:dire_hound_leader, 5, 1, 2
246, none, biomesoplenty:auroral_garden, MONSTER, born_in_chaos_v1:corpse_fly, 10, 2, 3
247, none, biomesoplenty:auroral_garden, MONSTER, born_in_chaos_v1:zombie_bruiser, 15, 3, 5
248, none, biomesoplenty:auroral_garden, MONSTER, born_in_chaos_v1:missioner, 5, 1, 2
249, none, biomesoplenty:auroral_garden, MONSTER, born_in_chaos_v1:nightmare_stalker, 1, 1, 1
250, none, biomesoplenty:auroral_garden, MONSTER, endermanoverhaul:snowy_enderman, 5, 1, 2
251, none, biomesoplenty:auroral_garden, MONSTER, irons_spellbooks:necromancer, 1, 1, 1
252, none, biomesoplenty:auroral_garden, MONSTER, mutantmonsters:mutant_skeleton, 1, 1, 1
253, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:allay, 5, 1, 1
254, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:bee, 15, 2, 4
255, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:chicken, 25, 2, 4
256, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:cow, 20, 2, 3
257, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:donkey, 5, 1, 2
258, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:horse, 5, 1, 2
259, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:mooshroom, 2, 1, 1
260, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:mule, 5, 1, 1
261, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:pig, 25, 2, 4
262, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:rabbit, 15, 2, 3
263, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:sheep, 25, 2, 4
264, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:wolf, 15, 2, 3
265, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:grizzly_bear, 5, 1, 2
266, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:hummingbird, 15, 2, 3
267, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:raccoon, 10, 2, 3
268, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:crow, 10, 1, 3
269, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:bald_eagle, 5, 1, 2
270, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:bunfungus, 5, 1, 2
271, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:sugar_glider, 10, 2, 3
272, forest, regions_unexplored:autumnal_maple_forest, CREATURE, legendarycreatures:forest_mojo, 5, 1, 2
273, forest, regions_unexplored:autumnal_maple_forest, CREATURE, legendarycreatures:hound, 150, 1, 2
274, forest, regions_unexplored:autumnal_maple_forest, CREATURE, legendarycreatures:wisp, 10, 2, 3
275, forest, regions_unexplored:autumnal_maple_forest, CREATURE, iceandfire:pixie, 10, 2, 3
276, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:silverfish, 6, 1, 3
277, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:creeper, 20, 1, 2
278, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:enderman, 10, 1, 1
279, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:pillager, 5, 1, 2
280, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:skeleton, 10, 1, 2
281, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:spider, 10, 1, 2
282, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:witch, 6, 1, 1
283, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie, 20, 1, 2
284, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
285, forest, regions_unexplored:autumnal_maple_forest, MONSTER, mutantmonsters:mutant_zombie, 1, 1, 1
286, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:reaper, 6, 1, 1
287, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:corrupted_pillager, 10, 1, 2
288, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:ghoul, 10, 1, 2
289, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:revenant, 10, 1, 2
290, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:wraith, 6, 1, 1
291, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:nightmare, 4, 1, 1
